land,fert,mach,popu,ppa,lp,cat
39979.93,4146.41,52573.61,48228.94,46217.52,0,54688
36996,4253.76,57929.85,48228.94,45263.67,0,52215
35862.6,4339.39,57929.85,48526.85,45705.75,0,46946
32995.65,4411.6,60386.54,48971.02,43069.53,0,54506
32439,4636.6,60386.54,49695.28,46946.95,0,37106
34188,4766.2,68397.91,50976.81,48402.19,0,38818
35420.25,4927.69,72522.12,50976.81,49804.23,0.72,41091
35580.9,5107.83,76589.56,51435.74,50160.28,0.72,48992
35425.5,5239.02,82190.41,52025.64,52870.92,0.77,39990
36436.14,5404.4,87496.1,52599.3,53082.08,0.87,47214
36384.75,5561.68,92780.48,53243.93,54647.71,0.9,37426
36405.57,5704.24,97734.66,53685.44,57120.85,1.02,32471
36402.42,5838.85,102558.96,53857.88,58957.97,1.12,34003
36175.5,5911.86,103906.75,53580.12,60193.84,1.18,35897
36104.13,5995.94,108056.58,52588.89,60702.61,1.18,33789
