ym,xm,dg,prv,total,LP1,LP2,LP3,LP
1075,2126.4,318.82,0,3520.22,0,0,0,0
1151.4,1961.2,207.72,0,3320.32,0,0,0,0
1189.8,2056.9,336.45,0,3583.15,0,0,0,0
766.3,2012,240.17,0,3018.47,0,0,0,0
1050,2059.9,358.22,0,3468.12,0.7,0,0.72,0.473333333
1298,2108.3,359.77,0,3766.07,0.7,0,0.72,0.473333333
1445.1,2116.7,426.69,0,3988.49,0.7,0,0.72,0.473333333
1582.5,2330.3,436.5,0,4349.3,0.7,0.74,0.72,0.72
1615,2346.7,443.13,0,4404.83,0.77,0.74,0.79,0.766666667
1690.88,2360,410.5,0,4461.38,0.9,0.89,0.92,0.903333333
1634.79,2365.667,471.19,0,4471.647,0.93,0.98,0.97,0.96
1696.5,2382.997,474.5,0,4553.997,1.02,1.05,1.07,1.046666667
2126.4,219,1221.6,1,3567,0,0,0,0
1961.2,279.9,1174.3,1,3415.4,0,0,0,0
2056.9,356.8,1327.5,1,3741.2,0,0,0,0
2012,260.6,963.7,1,3236.3,0,0,0,0
2059.9,320.8,1292.1,1,3672.8,0.7,0,0.72,0.473333333
2108.3,264.9,1250.8,1,3624,0.7,0,0.72,0.473333333
2116.7,297.9,1307,1,3721.6,0.7,0,0.72,0.473333333
2330.3,286.6,1356.4,1,3973.3,0.7,0.74,0.72,0.72
2346.7,234.97,1383.5,1,3965.17,0.77,0.74,0.79,0.766666667
2360,321.747,1414.7,1,4096.447,0.9,0.89,0.92,0.903333333
2365.667,362.58,1383.418,1,4111.665,0.93,0.98,0.97,0.96
2382.997,425.7,1387.084,1,4195.781,1.02,1.05,1.07,1.046666667
,,,,,,,,
