pro,fert,land,mach,popu,ppa,lp,cat,price
90290262,4339.39,35862.6,57929.85,48526.85,45705.75,0,46946,0.62
88389263,4411.6,32995.65,60386.54,48971.02,43069.53,0,54506,0.62
91952238,4636.6,32439,60386.54,49695.28,46946.95,0,37106,0.78
97445196,4766.2,34188,68397.91,50976.81,48402.19,0,38818,0.73
108466271,4927.69,35420.25,72522.12,50976.81,49804.23,0.72,41091,0.75
109298296,5107.83,35580.9,76589.56,51435.74,50160.28,0.72,48992,0.78
112464292,5239.02,35425.5,82190.41,52025.64,52870.92,0.77,39990,0.83
115115364,5404.4,36436.14,87496.1,52599.3,53082.08,0.87,47214,0.92
115186178,5561.68,36384.75,92780.48,53243.93,54647.71,0.9,37426,1
117414034,5704.24,36405.57,97734.66,53685.44,57120.85,1.02,32471,1.04
119222047,5838.85,36402.42,102558.96,53857.88,58957.97,1.12,34003,1.11
